PYTHONPATH=.:packages/harness:packages/dr_core PYTHONIOENCODING=utf-8 PYTHONUTF8=1 uv run pytest tests/ packages/dr_core/tests -v
============================= test session starts ==============================
platform darwin -- Python 3.12.13, pytest-9.0.3, pluggy-1.6.0 -- /Users/ryanfree/Documents/Projects/deerflow-dr/deer-flow/backend/.venv/bin/python
cachedir: .pytest_cache
rootdir: /Users/ryanfree/Documents/Projects/deerflow-dr/deer-flow/backend
configfile: pyproject.toml
plugins: asyncio-1.3.0, langsmith-0.8.18, anyio-4.13.0
tests/test_auth_middleware.py::test_protected_path_with_junk_cookie_rejected PASSED [  4%]
tests/test_auth_middleware.py::test_protected_post_no_cookie_returns_401 PASSED [  4%]
tests/test_auth_middleware.py::test_mcp_cache_reset_post_no_cookie_returns_401 PASSED [  4%]
tests/test_auth_middleware.py::test_protected_post_with_internal_auth_header_passes PASSED [  4%]
tests/test_auth_middleware.py::test_protected_put_no_cookie PASSED       [  4%]
tests/test_auth_middleware.py::test_protected_delete_no_cookie PASSED    [  4%]
tests/test_auth_middleware.py::test_protected_patch_no_cookie PASSED     [  4%]
tests/test_auth_middleware.py::test_put_with_junk_cookie_rejected PASSED [  4%]
tests/test_auth_middleware.py::test_delete_with_junk_cookie_rejected PASSED [  4%]
tests/test_auth_middleware.py::test_unknown_endpoint_no_cookie_returns_401 PASSED [  4%]
tests/test_auth_middleware.py::test_unknown_endpoint_with_junk_cookie_rejected PASSED [  4%]
tests/test_auth_type_system.py::test_csrf_exempts_login_local PASSED     [  4%]
tests/test_auth_type_system.py::test_csrf_exempts_login_local_trailing_slash PASSED [  4%]
tests/test_auth_type_system.py::test_csrf_exempts_logout PASSED          [  4%]
tests/test_auth_type_system.py::test_csrf_exempts_register PASSED        [  4%]
tests/test_auth_type_system.py::test_csrf_does_not_exempt_old_login_path PASSED [  4%]
tests/test_auth_type_system.py::test_csrf_does_not_exempt_me PASSED      [  4%]
tests/test_auth_type_system.py::test_csrf_skips_get_requests PASSED      [  4%]
tests/test_auth_type_system.py::test_csrf_checks_post_to_protected PASSED [  4%]
tests/test_auth_type_system.py::test_auth_error_response_has_code_and_message PASSED [  4%]
tests/test_auth_type_system.py::test_auth_error_response_all_codes_serializable PASSED [  4%]
tests/test_auth_type_system.py::test_decode_token_expired_maps_to_token_expired_code PASSED [  4%]
tests/test_auth_type_system.py::test_decode_token_invalid_sig_maps_to_token_invalid_code PASSED [  4%]
tests/test_auth_type_system.py::test_decode_token_malformed_maps_to_token_invalid_code PASSED [  4%]
tests/test_auth_type_system.py::test_login_response_model_has_no_access_token PASSED [  4%]
tests/test_auth_type_system.py::test_login_response_model_fields PASSED  [  4%]
tests/test_auth_type_system.py::test_auth_config_token_expiry_used_in_login_response PASSED [  4%]
tests/test_auth_type_system.py::test_user_response_system_role_literal PASSED [  4%]
tests/test_auth_type_system.py::test_user_response_rejects_invalid_role PASSED [  4%]
tests/test_auth_type_system.py::test_get_current_user_no_cookie_returns_not_authenticated PASSED [  4%]
tests/test_auth_type_system.py::test_get_current_user_expired_token_returns_token_expired PASSED [  4%]
tests/test_auth_type_system.py::test_get_current_user_invalid_token_returns_token_invalid PASSED [  4%]
tests/test_auth_type_system.py::test_get_current_user_malformed_token_returns_token_invalid PASSED [  5%]
tests/test_auth_type_system.py::test_decode_token_empty_string_returns_malformed PASSED [  5%]
tests/test_auth_type_system.py::test_decode_token_whitespace_returns_malformed PASSED [  5%]
tests/test_auth_type_system.py::test_auth_config_missing_jwt_secret_raises PASSED [  5%]
tests/test_auth_type_system.py::test_auth_config_token_expiry_zero_raises PASSED [  5%]
tests/test_auth_type_system.py::test_auth_config_token_expiry_31_raises PASSED [  5%]
tests/test_auth_type_system.py::test_auth_config_token_expiry_boundary_1_ok PASSED [  5%]
tests/test_auth_type_system.py::test_auth_config_token_expiry_boundary_30_ok PASSED [  5%]
tests/test_auth_type_system.py::test_get_auth_config_missing_env_var_generates_ephemeral PASSED [  5%]
tests/test_auth_type_system.py::test_csrf_middleware_blocks_post_without_token PASSED [  5%]
tests/test_auth_type_system.py::test_csrf_middleware_blocks_post_with_mismatched_token PASSED [  5%]
tests/test_auth_type_system.py::test_csrf_middleware_allows_post_with_matching_token PASSED [  5%]
tests/test_auth_type_system.py::test_csrf_middleware_allows_get_without_token PASSED [  5%]
tests/test_auth_type_system.py::test_csrf_middleware_exempts_login_local PASSED [  5%]
tests/test_auth_type_system.py::test_csrf_middleware_sets_cookie_on_auth_endpoint PASSED [  5%]
tests/test_auth_type_system.py::test_user_response_missing_required_fields PASSED [  5%]
tests/test_auth_type_system.py::test_user_response_empty_string_role_rejected PASSED [  5%]
tests/test_auth_type_system.py::test_api_auth_me_no_cookie_returns_structured_401 PASSED [  5%]
tests/test_auth_type_system.py::test_api_auth_me_auth_disabled_returns_synthetic_user PASSED [  5%]
tests/test_auth_type_system.py::test_api_auth_me_expired_token_returns_structured_401 PASSED [  5%]
tests/test_auth_type_system.py::test_api_auth_me_invalid_sig_returns_structured_401 PASSED [  5%]
tests/test_auth_type_system.py::test_api_login_bad_credentials_returns_structured_401 PASSED [  5%]
tests/test_auth_type_system.py::test_api_login_success_no_token_in_body PASSED [  5%]
tests/test_auth_type_system.py::test_api_register_duplicate_returns_structured_400 PASSED [  5%]
tests/test_auth_type_system.py::test_register_http_cookie_httponly_true_secure_false PASSED [  5%]
tests/test_auth_type_system.py::test_register_https_cookie_httponly_true_secure_true PASSED [  5%]
tests/test_auth_type_system.py::test_login_https_sets_secure_cookie PASSED [  5%]
tests/test_auth_type_system.py::test_csrf_cookie_secure_on_https PASSED  [  5%]
tests/test_auth_type_system.py::test_csrf_cookie_not_secure_on_http PASSED [  5%]
tests/test_auth_type_system.py::test_csrf_cookie_persistent_on_https PASSED [  5%]
tests/test_auth_type_system.py::test_csrf_cookie_session_only_on_http PASSED [  5%]
tests/test_auth_type_system.py::test_oidc_callback_csrf_cookie_persistent_on_https PASSED [  5%]
tests/test_base_to_dict.py::test_to_dict_returns_all_columns PASSED      [  5%]
tests/test_base_to_dict.py::test_to_dict_exclude PASSED                  [  5%]
tests/test_base_to_dict.py::test_column_keys_are_cached_per_class PASSED [  5%]
tests/test_base_to_dict.py::test_repr_lists_columns PASSED               [  5%]
tests/test_brave_tools.py::TestGetApiKey::test_returns_config_key_when_present PASSED [  5%]
tests/test_brave_tools.py::TestGetApiKey::test_reads_config_for_requested_tool_name PASSED [  5%]
tests/test_brave_tools.py::TestGetApiKey::test_falls_back_to_env_when_config_key_empty PASSED [  5%]
tests/test_brave_tools.py::TestGetApiKey::test_falls_back_to_env_when_no_config PASSED [  5%]
tests/test_brave_tools.py::TestGetApiKey::test_ignores_legacy_brave_api_key PASSED [  5%]
tests/test_brave_tools.py::TestGetApiKey::test_returns_none_when_no_key_anywhere PASSED [  5%]
tests/test_brave_tools.py::TestGetApiKey::test_model_extra_none_does_not_crash PASSED [  5%]
tests/test_brave_tools.py::TestWebSearchTool::test_basic_search_returns_normalized_results PASSED [  5%]
tests/test_brave_tools.py::TestWebSearchTool::test_respects_max_results_from_config PASSED [  5%]
tests/test_brave_tools.py::TestWebSearchTool::test_max_results_parameter_accepted PASSED [  5%]
tests/test_brave_tools.py::TestWebSearchTool::test_config_max_results_overrides_parameter PASSED [  5%]
tests/test_brave_tools.py::TestWebSearchTool::test_max_results_string_from_env_is_coerced_and_clamped PASSED [  5%]
tests/test_brave_tools.py::TestWebSearchTool::test_invalid_max_results_falls_back_to_default PASSED [  5%]
tests/test_brave_tools.py::TestWebSearchTool::test_empty_results_returns_error_json PASSED [  5%]
tests/test_brave_tools.py::TestWebSearchTool::test_missing_web_key_returns_error_json PASSED [  5%]
tests/test_brave_tools.py::TestWebSearchTool::test_missing_api_key_returns_error_json PASSED [  5%]
tests/test_brave_tools.py::TestWebSearchTool::test_missing_api_key_logs_warning_once PASSED [  5%]
tests/test_brave_tools.py::TestWebSearchTool::test_http_error_returns_structured_error PASSED [  5%]
tests/test_brave_tools.py::TestWebSearchTool::test_network_exception_returns_error_json PASSED [  5%]
tests/test_brave_tools.py::TestWebSearchTool::test_sends_correct_headers_and_params PASSED [  5%]
tests/test_brave_tools.py::TestWebSearchTool::test_long_query_is_truncated_to_brave_limit PASSED [  5%]
tests/test_brave_tools.py::TestWebSearchTool::test_uses_env_key_when_config_absent PASSED [  5%]
tests/test_brave_tools.py::TestWebSearchTool::test_partial_fields_in_result PASSED [  5%]
tests/test_brave_tools.py::TestSafePublicUrl::test_https_public_hostname_passes PASSED [  5%]
tests/test_brave_tools.py::TestSafePublicUrl::test_non_http_scheme_is_filtered PASSED [  5%]
tests/test_brave_tools.py::TestSafePublicUrl::test_localhost_is_filtered PASSED [  5%]
tests/test_brave_tools.py::TestSafePublicUrl::test_private_ip_is_filtered PASSED [  5%]
tests/test_brave_tools.py::TestSafePublicUrl::test_obfuscated_loopback_ip_is_filtered PASSED [  6%]
tests/test_brave_tools.py::TestSafePublicUrl::test_malformed_ipv6_url_does_not_raise PASSED [  6%]
tests/test_brave_tools.py::TestSafePublicUrl::test_nat64_embedded_loopback_is_filtered PASSED [  6%]
tests/test_brave_tools.py::TestSafePublicUrl::test_ipv4_compatible_embedded_private_is_filtered PASSED [  6%]
tests/test_brave_tools.py::TestSafePublicUrl::test_ipv4_mapped_loopback_is_filtered PASSED [  6%]
tests/test_brave_tools.py::TestSafePublicUrl::test_sixtofour_loopback_is_filtered PASSED [  6%]
tests/test_brave_tools.py::TestSafePublicUrl::test_global_ipv6_passes PASSED [  6%]
tests/test_brave_tools.py::TestImageSearchTool::test_basic_image_search_returns_normalized_results PASSED [  6%]
tests/test_brave_tools.py::TestImageSearchTool::test_image_search_sends_brave_image_params_from_config PASSED [  6%]
tests/test_brave_tools.py::TestImageSearchTool::test_image_search_filters_unsafe_image_urls_but_keeps_safe_thumbnail PASSED [  6%]
tests/test_brave_tools.py::TestImageSearchTool::test_image_search_falls_back_when_only_one_image_url_is_present PASSED [  6%]
tests/test_brave_tools.py::TestImageSearchTool::test_image_search_reports_thumbnail_dimensions_when_original_dropped PASSED [  6%]
tests/test_brave_tools.py::TestImageSearchTool::test_image_search_missing_api_key_returns_error_json PASSED [  6%]
tests/test_brave_tools.py::TestImageSearchTool::test_image_search_missing_api_key_logs_warning_once_per_tool PASSED [  6%]
tests/test_brave_tools.py::TestImageSearchTool::test_image_search_http_error_returns_structured_error PASSED [  6%]
tests/test_brave_tools.py::TestImageSearchTool::test_image_search_unexpected_results_format_returns_error PASSED [  6%]
tests/test_brave_tools.py::test_package_exports_image_search_tool PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessClient::test_fetch_html_success PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessClient::test_fetch_html_empty_response PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessClient::test_fetch_html_http_error PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessClient::test_fetch_html_timeout PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessClient::test_fetch_html_with_token PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessClient::test_fetch_html_with_wait_for_selector PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessClient::test_fetch_html_with_reject_params PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessClient::test_capture_screenshot_success PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessClient::test_capture_screenshot_http_error PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessClient::test_capture_screenshot_empty_response PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessTools::test_get_browserless_client_uses_env_token_fallback PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessTools::test_web_fetch_tool_success PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessTools::test_web_fetch_tool_error PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessTools::test_web_fetch_tool_exception PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessTools::test_web_capture_tool_writes_artifact PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessTools::test_web_capture_tool_rejects_non_http_url PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessTools::test_web_capture_tool_rejects_loopback_url PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessTools::test_web_capture_tool_rejects_metadata_ip PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessTools::test_web_capture_tool_rejects_dns_resolving_to_private PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessTools::test_web_capture_tool_allows_private_when_opted_in PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessTools::test_web_capture_tool_warns_on_target_error_status PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessTools::test_web_capture_tool_dedupes_existing_filename PASSED [  6%]
tests/test_browserless_client.py::TestBrowserlessTools::test_web_capture_tool_missing_outputs_path_returns_error PASSED [  6%]
tests/test_cancel_run_idempotent.py::TestRunManagerCancelIdempotency::test_cancel_returns_true_for_already_interrupted_run PASSED [  6%]
tests/test_cancel_run_idempotent.py::TestRunManagerCancelIdempotency::test_cancel_returns_false_for_successful_run PASSED [  6%]
tests/test_cancel_run_idempotent.py::TestRunManagerCancelIdempotency::test_cancel_returns_false_for_unknown_run PASSED [  6%]
tests/test_cancel_run_idempotent.py::TestCancelRunEndpointIdempotency::test_double_cancel_returns_202_not_409 PASSED [  6%]
tests/test_cancel_run_idempotent.py::TestCancelRunEndpointIdempotency::test_cancel_unknown_run_returns_404 PASSED [  6%]
tests/test_cancel_run_idempotent.py::TestCancelRunEndpointIdempotency::test_cancel_successful_run_returns_409 PASSED [  6%]
tests/test_cancel_run_idempotent.py::TestStreamExistingRunIdempotentCancel::test_stream_cancel_already_interrupted_returns_not_409 PASSED [  6%]
tests/test_channel_connections_config.py::test_channel_connections_disabled_by_default PASSED [  6%]
tests/test_channel_connections_config.py::test_enabled_channel_connections_do_not_require_public_url_or_encryption_key PASSED [  6%]
tests/test_channel_connections_config.py::test_require_bound_identity_can_be_disabled_for_legacy_open_bot_mode PASSED [  6%]
tests/test_channel_connections_config.py::test_provider_status_reports_disabled_and_unknown_providers PASSED [  6%]
tests/test_channel_connections_repository.py::TestChannelConnectionRepository::test_connections_are_listed_per_owner[asyncio] PASSED [  6%]
tests/test_channel_connections_repository.py::TestChannelConnectionRepository::test_upsert_connection_updates_existing_provider_identity[asyncio] PASSED [  6%]
tests/test_channel_connections_repository.py::TestChannelConnectionRepository::test_upsert_connection_transfers_external_identity_between_owners[asyncio] PASSED [  6%]
tests/test_channel_connections_repository.py::TestChannelConnectionRepository::test_active_identity_unique_index_rejects_second_connected_owner[asyncio] PASSED [  6%]
tests/test_channel_connections_repository.py::TestChannelConnectionRepository::test_active_identity_unique_index_allows_revoked_rows[asyncio] PASSED [  6%]
tests/test_channel_connections_repository.py::TestChannelConnectionRepository::test_concurrent_upserts_keep_single_active_owner[asyncio] PASSED [  6%]
tests/test_channel_connections_repository.py::TestChannelConnectionRepository::test_credentials_are_encrypted_at_rest_and_decrypted_by_repository[asyncio] PASSED [  6%]
tests/test_channel_connections_repository.py::TestChannelConnectionRepository::test_get_credentials_returns_none_when_decryption_fails[asyncio] PASSED [  6%]
tests/test_channel_connections_repository.py::TestChannelConnectionRepository::test_conversations_are_scoped_by_connection[asyncio] PASSED [  6%]
tests/test_channel_connections_repository.py::TestChannelConnectionRepository::test_disconnect_connection_revokes_owner_connection_and_removes_credentials[asyncio] PASSED [  6%]
tests/test_channel_connections_repository.py::TestChannelConnectionRepository::test_disconnect_connection_is_owner_scoped[asyncio] PASSED [  6%]
tests/test_channel_connections_repository.py::TestChannelConnectionRepository::test_consume_oauth_state_deletes_expired_states[asyncio] PASSED [  6%]
tests/test_channel_connections_repository.py::TestChannelConnectionRepository::test_count_oauth_states_active_only_and_delete_expired[asyncio] PASSED [  7%]
tests/test_channel_connections_repository.py::TestChannelConnectionRepository::test_create_oauth_state_within_cap_enforces_pending_cap[asyncio] PASSED [  7%]
tests/test_channel_connections_repository.py::TestChannelConnectionRepository::test_create_oauth_state_within_cap_ignores_expired_rows[asyncio] PASSED [  7%]
tests/test_channel_connections_repository.py::TestChannelConnectionRepository::test_create_oauth_state_within_cap_does_not_leak_under_concurrency[asyncio] PASSED [  7%]
tests/test_channel_connections_repository.py::TestChannelConnectionRepository::test_consume_oauth_state_is_one_time_even_under_concurrent_consumers[asyncio] PASSED [  7%]
tests/test_channel_connections_repository.py::TestChannelConnectionRepository::test_upsert_connection_retries_as_update_when_concurrent_insert_wins[asyncio] PASSED [  7%]
tests/test_channel_connections_router.py::test_get_providers_only_returns_enabled_channels_and_setup_fields PASSED [  7%]
tests/test_channel_connections_router.py::test_get_providers_uses_existing_channels_config PASSED [  7%]
tests/test_channel_connections_router.py::test_get_providers_degrades_when_persistence_is_unavailable PASSED [  7%]
tests/test_channel_connections_router.py::test_get_providers_reports_connected_without_binding_in_auth_disabled_mode PASSED [  7%]
tests/test_channel_connections_router.py::test_get_providers_reports_unconfigured_when_runtime_channel_is_missing PASSED [  7%]
tests/test_channel_connections_router.py::test_get_providers_reports_configured_channel_not_running PASSED [  7%]
tests/test_channel_connections_router.py::test_get_providers_provider_unavailable_overrides_stale_connected_row PASSED [  7%]
tests/test_channel_connections_router.py::test_get_providers_restarts_configured_channel_when_service_can_reconcile PASSED [  7%]
tests/test_channel_connections_router.py::test_get_providers_uses_newest_connection_status_per_provider PASSED [  7%]
tests/test_channel_connections_router.py::test_get_connections_returns_current_user_connections_only PASSED [  7%]
tests/test_channel_connections_router.py::test_connect_telegram_returns_deep_link_and_persists_state PASSED [  7%]
tests/test_channel_connections_router.py::test_connect_slack_returns_binding_command_and_persists_state PASSED [  7%]
tests/test_channel_connections_router.py::test_connect_binding_code_caps_pending_states_per_provider PASSED [  7%]
tests/test_channel_connections_router.py::test_connect_discord_returns_binding_command_and_persists_state PASSED [  7%]
tests/test_channel_connections_router.py::test_connect_existing_binding_code_channels_return_command_and_persist_state PASSED [  7%]
tests/test_channel_connections_router.py::test_connect_unconfigured_runtime_channel_returns_400 PASSED [  7%]
tests/test_channel_connections_router.py::test_configure_provider_runtime_credentials_enables_connect_without_file_edits PASSED [  7%]
tests/test_channel_connections_router.py::test_runtime_config_endpoints_require_admin PASSED [  7%]
tests/test_channel_connections_router.py::test_configure_provider_runtime_rolls_back_visible_state_when_start_fails PASSED [  7%]
tests/test_channel_connections_router.py::test_configure_telegram_runtime_uses_new_bot_username_for_deep_link_without_mutating_config PASSED [  7%]
tests/test_channel_connections_router.py::test_configure_provider_runtime_credentials_survive_local_restart PASSED [  7%]
tests/test_channel_connections_router.py::test_configure_provider_runtime_credentials_preserves_masked_secrets PASSED [  7%]
tests/test_channel_connections_router.py::test_disconnect_provider_runtime_config_clears_connected_state PASSED [  7%]
tests/test_channel_connections_router.py::test_disconnect_provider_runtime_config_suppresses_file_config_and_stops_channel PASSED [  7%]
tests/test_channel_connections_router.py::test_disconnect_provider_runtime_config_revokes_all_provider_connections PASSED [  7%]
tests/test_channel_connections_router.py::test_get_providers_preserves_revoked_status_when_provider_unavailable PASSED [  7%]
tests/test_channel_connections_router.py::test_configure_provider_runtime_does_not_clobber_concurrent_config_update PASSED [  7%]
tests/test_channel_connections_router.py::test_disconnect_provider_runtime_keeps_state_consistent_when_revoke_fails PASSED [  7%]
tests/test_channel_connections_router.py::test_disconnect_connection_revokes_current_user_connection PASSED [  7%]
tests/test_channel_connections_router.py::test_disconnect_connection_is_current_user_scoped PASSED [  7%]
tests/test_channel_file_attachments.py::TestResolvedAttachment::test_basic_construction PASSED [  7%]
tests/test_channel_file_attachments.py::TestResolvedAttachment::test_image_detection PASSED [  7%]
tests/test_channel_file_attachments.py::TestOutboundMessageAttachments::test_default_empty_attachments PASSED [  7%]
tests/test_channel_file_attachments.py::TestOutboundMessageAttachments::test_attachments_populated PASSED [  7%]
tests/test_channel_file_attachments.py::TestResolveAttachments::test_resolves_existing_file PASSED [  7%]
tests/test_channel_file_attachments.py::TestResolveAttachments::test_resolves_image_file PASSED [  7%]
tests/test_channel_file_attachments.py::TestResolveAttachments::test_skips_missing_file PASSED [  7%]
tests/test_channel_file_attachments.py::TestResolveAttachments::test_skips_invalid_path PASSED [  7%]
tests/test_channel_file_attachments.py::TestResolveAttachments::test_rejects_uploads_path PASSED [  7%]
tests/test_channel_file_attachments.py::TestResolveAttachments::test_rejects_workspace_path PASSED [  7%]
tests/test_channel_file_attachments.py::TestResolveAttachments::test_rejects_path_traversal_escape PASSED [  7%]
tests/test_channel_file_attachments.py::TestResolveAttachments::test_multiple_artifacts_partial_resolution PASSED [  7%]
tests/test_channel_file_attachments.py::TestInboundFileIngestion::test_rejects_preexisting_symlink_destination PASSED [  7%]
tests/test_channel_file_attachments.py::TestInboundFileIngestion::test_rejects_dangling_symlink_destination PASSED [  7%]
tests/test_channel_file_attachments.py::TestInboundFileIngestion::test_hardlinked_existing_file_is_not_overwritten PASSED [  7%]
tests/test_channel_file_attachments.py::TestBaseChannelOnOutbound::test_default_receive_file_returns_original_message PASSED [  7%]
tests/test_channel_file_attachments.py::TestBaseChannelOnOutbound::test_send_file_called_for_each_attachment PASSED [  7%]
tests/test_channel_file_attachments.py::TestBaseChannelOnOutbound::test_no_attachments_no_send_file PASSED [  7%]
tests/test_channel_file_attachments.py::TestBaseChannelOnOutbound::test_send_file_failure_does_not_block_others PASSED [  7%]
tests/test_channel_file_attachments.py::TestBaseChannelOnOutbound::test_send_raises_skips_file_uploads PASSED [  7%]
tests/test_channel_file_attachments.py::TestBaseChannelOnOutbound::test_default_send_file_returns_false PASSED [  7%]
tests/test_channel_file_attachments.py::TestManagerArtifactResolution::test_handle_chat_populates_attachments PASSED [  7%]
tests/test_channel_file_attachments.py::TestManagerArtifactResolution::test_format_artifact_text_for_unresolved PASSED [  7%]
tests/test_channels.py::test_known_channel_command_detection_only_matches_control_commands PASSED [  7%]
tests/test_channels.py::TestMessageBus::test_publish_and_get_inbound PASSED [  7%]
tests/test_channels.py::TestMessageBus::test_inbound_queue_is_fifo PASSED [  7%]
tests/test_channels.py::TestMessageBus::test_outbound_callback PASSED    [  7%]
tests/test_channels.py::TestMessageBus::test_unsubscribe_outbound PASSED [  8%]
tests/test_channels.py::TestMessageBus::test_unsubscribe_outbound_removes_fresh_bound_method_reference PASSED [  8%]
tests/test_channels.py::TestMessageBus::test_outbound_error_does_not_crash PASSED [  8%]
tests/test_channels.py::TestMessageBus::test_inbound_message_defaults PASSED [  8%]
tests/test_channels.py::TestMessageBus::test_outbound_message_defaults PASSED [  8%]
tests/test_channels.py::TestChannelStore::test_set_and_get_thread_id PASSED [  8%]
tests/test_channels.py::TestChannelStore::test_get_nonexistent_returns_none PASSED [  8%]
tests/test_channels.py::TestChannelStore::test_remove PASSED             [  8%]
tests/test_channels.py::TestChannelStore::test_remove_nonexistent_returns_false PASSED [  8%]
tests/test_channels.py::TestChannelStore::test_list_entries_all PASSED   [  8%]
tests/test_channels.py::TestChannelStore::test_list_entries_filtered PASSED [  8%]
tests/test_channels.py::TestChannelStore::test_persistence PASSED        [  8%]
tests/test_channels.py::TestChannelStore::test_update_preserves_created_at PASSED [  8%]
tests/test_channels.py::TestChannelStore::test_corrupt_file_handled PASSED [  8%]
tests/test_channels.py::TestChannelBase::test_make_inbound PASSED        [  8%]
tests/test_channels.py::TestChannelBase::test_on_outbound_routes_to_channel PASSED [  8%]
tests/test_channels.py::TestChannelBase::test_on_outbound_ignores_other_channels PASSED [  8%]
tests/test_channels.py::TestChannelBase::test_send_with_retry_retries_until_success PASSED [  8%]
tests/test_channels.py::TestChannelBase::test_log_future_error_handles_cancelled_future PASSED [  8%]
tests/test_channels.py::TestChannelBase::test_log_future_error_surfaces_future_exception PASSED [  8%]
tests/test_channels.py::TestChannelBase::test_channel_capabilities_match_channel_defaults PASSED [  8%]
tests/test_channels.py::TestExtractResponseText::test_string_content PASSED [  8%]
tests/test_channels.py::TestExtractResponseText::test_list_content_blocks PASSED [  8%]
tests/test_channels.py::TestExtractResponseText::test_picks_last_ai_message PASSED [  8%]
tests/test_channels.py::TestExtractResponseText::test_empty_messages PASSED [  8%]
tests/test_channels.py::TestExtractResponseText::test_no_ai_messages PASSED [  8%]
tests/test_channels.py::TestExtractResponseText::test_list_result PASSED [  8%]
tests/test_channels.py::TestExtractResponseText::test_skips_empty_ai_content PASSED [  8%]
tests/test_channels.py::TestExtractResponseText::test_clarification_tool_message PASSED [  8%]
tests/test_channels.py::TestExtractResponseText::test_clarification_over_empty_ai PASSED [  8%]
tests/test_channels.py::TestExtractResponseText::test_does_not_leak_previous_turn_text PASSED [  8%]
tests/test_channels.py::TestExtractResponseText::test_ignores_hidden_human_control_messages PASSED [  8%]
tests/test_channels.py::TestClarificationDetection::test_final_clarification_tool_message_is_pending PASSED [  8%]
tests/test_channels.py::TestClarificationDetection::test_clarification_followed_by_regular_ai_is_not_pending PASSED [  8%]
tests/test_channels.py::TestClarificationDetection::test_previous_turn_clarification_does_not_mark_current_turn PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_get_client_includes_csrf_header_and_cookie PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_concurrent_inbound_for_same_chat_reuses_single_thread PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_fetch_gateway_includes_internal_auth_headers PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_fetch_gateway_uses_bound_owner_headers PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_handle_chat_calls_channel_receive_file_for_inbound_files PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_ingest_inbound_files_uses_explicit_owner_bucket PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_channel_storage_user_id_falls_back_to_platform_user PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_handle_chat_creates_thread PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_dispatch_loop_dedupes_stable_provider_message_id PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_inbound_dedupe_key_fails_closed_without_workspace PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_dispatch_loop_releases_dedupe_key_when_handling_fails PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_handle_chat_outbound_preserves_inbound_metadata PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_handle_chat_marks_clarification_outbound_metadata PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_handle_chat_does_not_mark_regular_outbound_as_clarification PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_handle_chat_outbound_drops_large_metadata_keys PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_handle_chat_uses_channel_session_overrides PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_clarification_follow_up_preserves_history PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_handle_chat_uses_user_session_overrides PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_handle_chat_rejects_invalid_custom_agent_name PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_handle_feishu_chat_streams_multiple_outbound_updates PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_handle_streaming_chat_accepts_runtime_messages_event PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_handle_feishu_streaming_marks_only_final_clarification_outbound PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_handle_feishu_stream_error_still_sends_final PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_handle_feishu_stream_conflict_sends_busy_message PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_handle_command_help PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_handle_command_blank_text_is_reported_without_running_agent PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_handle_command_rejects_multi_slash_control_command PASSED [  8%]
